,set_url
0,http://google.com/?tab=uu
1,https://accounts.google.com/ServiceLogin?hl=ru&passive=true&continue=http://support.google.com/accounts/answer/61416%3Fhl%3Dru%26visit_id%3D637874264266745383-3760000893%26p%3Dws_cookies_notif%26rd%3D1&ec=GAZAdQ
2,http://google.com/url?q=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dru%26fg%3D1&sa=U&ved=0ahUKEwjnmovwyMr3AhWHrosKHXfLDVYQ8KwCCAI&usg=AOvVaw2L_JRty5T5wHgAVz31SYVQ
3,https://support.google.com/accounts/answer/61416?hl=ru&visit_id=637874264283832933-2678158537&p=ws_cookies_notif&rd=1&co=GENIE.Platform%3DiOS
4,https://support.google.com/websearch?p=adv_pages_visited&hl=ru
5,https://www.google.ru/imghp?hl=ru&tab=wi
6,http://google.com/history/optout?hl=ru
7,https://www.google.com/about/responsible-supply-chain/
8,https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Faccounts.google.com%2F%3Fhl%3Dru&hl=ru
9,https://accounts.google.com/ServiceLogin?hl=ru&passive=true&continue=https://www.google.com/preferences%3Fhl%3Dru&ec=GAZAAQ
10,http://www.google.ru/imghp?hl=ru&tab=wi
11,http://google.com/chrome/answer/95647
12,http://google.com/accounts/answer/54068?hl=ru&ref_topic=3382296
13,https://accounts.google.com/TOS?loc=RU&hl=ru
14,http://google.com/intl/ru/extended-workforce/
15,https://www.blog.google/
16,https://www.google.com/accounts/TOS
17,http://google.com
18,https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F
19,https://support.google.com/accounts/answer/61416?hl=ru&visit_id=637874264283832933-2678158537&p=ws_cookies_notif&rd=1&co=GENIE.Platform%3DAndroid
20,http://google.com/accounts/answer/7682439?hl=ru&ref_topic=3382296
21,https://twitter.com/google
22,https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Faccounts.google.com%2F&hl=ru
23,https://accounts.google.com/login?hl=ru
24,http://google.com/preferences?hl=ru
25,http://google.com/url?q=https://policies.google.com/privacy%3Fhl%3Dru%26fg%3D1&sa=U&ved=0ahUKEwjnmovwyMr3AhWHrosKHXfLDVYQ8awCCAM&usg=AOvVaw1OV-j1WbUVc2mvpoXSMK90
26,https://www.google.com/intl/ru/about
27,http://maps.google.ru/maps?hl=ru&tab=wl
28,https://accounts.google.com/ServiceLogin?hl=ru&passive=true&continue=https://www.google.com/%3Fhl%3Dru&ec=GAZAAQ
29,http://google.com/url?q=https://policies.google.com/terms%3Fhl%3Dru%26fg%3D1&sa=U&ved=0ahUKEwjO2YPwyMr3AhWUy4sKHQV3CJUQ8qwCCAU&usg=AOvVaw0P-udPavHHA02l5g-faEB_
30,http://www.google.com/support/accounts?hl=ru
31,http://google.com/accounts/answer/3118687?hl=ru&ref_topic=3382296
32,http://google.com/intl/ru/stories/
33,http://google.com/preferences?hl=ru#languages
34,https://www.facebook.com/Google
35,https://www.google.com/about/appsecurity/
36,http://google.com/intl/ru/commitments/
37,https://www.google.ru/intl/ru/about/products
