,set_url
0,http://vk.com/settings?act=change_regional&hash=e9c50618b172b738ce&to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tLw--&lang_id=3
1,http://vk.com/settings?act=change_regional&hash=e9c50618b172b738ce&to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20v&lang_id=3
2,http://vk.com/settings?act=change_regional&hash=e9c50618b172b738ce&to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tLw--&lang_id=1
3,http://vk.com/join?to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS8-&hidden=1
4,http://vk.com/join?to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS8-&hidden=1
5,http://vk.com/settings?act=select_lang&to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20v
6,http://vk.com/settings?act=select_lang&to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tLw--
7,http://vk.com/settings?act=select_lang&to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS8-
8,http://vk.com/join?to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tLw--&hidden=1
9,http://vk.com/settings?act=change_regional&hash=e9c50618b172b738ce&to=aHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20vaHR0cDovL3ZrLmNvbS9odHRwOi8vdmsuY29tL2h0dHA6Ly92ay5jb20v&lang_id=3
