,set_url
0,https://yandex.ru/legal/realty_termsofuse/20092011/index.html
1,https://www.ilo.org/moscow/areas-of-work/gender-equality/WCMS_249142/lang--ru/index.htm
2,https://yandex.ru/legal/direct_display_rules/16042018/index.html
3,https://yandex.ru/adv/products/mobile
4,https://yandex.ru/blog/company/pozvonit-kuze-uznat-o-tekhnologiyakh-proshlogo-i-pouchastvovat-v-turnire-po-retroigram-muzey-yandeksa-priglashaet-na-festival-demodulyatsiya
5,https://yandex.ru/company/offices
6,http://www.youtube.com/watch?v=5I0Ni21ougA
7,https://yandex.ru/company/rules/code/#5.konfidencialnajainformacija
8,http://astralnalog.ru/upload/iblock/a2a/reglament-uts-kaluga-astral.pdf
9,https://yandex.ru/legal/search_mobile_agreement/index.html
10,https://yandex.ru/legal/drive_agreement/08042021/index.html
11,https://yandex.ru/legal/addappter_termsofuse/index.html
12,https://passport.yandex.ru/auth?retpath=https://yandex.ru/adv/news/kak-uskorit-zagruzku-sayta-s-novymi-kodami-vstavki-rsya-i-adfox
13,https://yandex.ru/maps/-/CCQ~7TcW0A
14,http://mobile-feedback.yandex.ru/?from=m-weather
15,https://yandex.ru/blog/company/dannye-kotorye-my-ne-uberegli-i-uroki-kotorye-my-izvlekli#6240a0bfa15d8900cae88f4d
16,https://yandex.ru/legal/drive_agreement/10072018/index.html
17,https://yandex.ru/bus/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0/%D0%92%D0%BE%D0%BB%D0%B3%D0%BE%D0%B3%D1%80%D0%B0%D0%B4?from-page=morda&from-medium=tile&bestDate=1
18,https://yandex.ru/blog/company/pro-obligatsii-yandeksa#62307242931b17003ffe6ce0
19,https://yandex.ru/legal/market_adv_rules/17122020/index.html
20,https://yandex.ru/blog/company/ya-tak-vizhu-alisa-risuet-kartiny-na-zakaz
21,https://passport.yandex.ru/auth?retpath=https%3A%2F%2Fyandex.ru%2Fimages%2Fsearch%3Futm_source%3Dmain_stripe_big%26text%3D%25D0%259C%25D0%25B0%25D0%25BB%25D0%25B0%25D0%25BC%25D1%2583%25D1%2582%26nl%3D1%26source%3Dmorda%26ncrnd%3D8501&origin=images_head_auth&login%5B%5D=
22,https://yandex.ru/adv/solutions/analytics/issledovanie_mebelnoj_industrii
23,https://yandex.ru/legal/health_mobile_agreement/28092017/index.html
24,https://yandex.ru/blog/company/smotrite-po-russki-yandeks-zapustil-zakadrovyy-perevod-video#61c12d0ecf34140017e9190c
25,https://yandex.ru/legal/oferta_business/17122021/index.html
26,https://github.com/rs/SDWebImage#licenses
27,https://yandex.ru/adv/contact/agencies/blondinka-ru
28,https://yandex.ru/legal/classified_termsofuse/21052021/index.html
29,https://webmaster.yandex.ru/?utm_source=yandex_all
30,https://yandex.ru/jobs/vacancies?cities=kazan&services=taxi
31,https://yandex.ru/blog/company/smotrite-po-russki-yandeks-zapustil-zakadrovyy-perevod-video#616f0d31a8663e0017b95498
32,https://yandex.ru/blog/company/dannye-kotorye-my-ne-uberegli-i-uroki-kotorye-my-izvlekli#623ca389171645006fbed74f
33,https://passport.yandex.ru/auth?retpath=https%3A%2F%2Fyandex.ru%2Fimages%2F%3Fncrnd%3D9174&origin=images_head_auth&login%5B%5D=
34,https://yandex.ru/jobs/vacancies?cities=moscow&services=360
35,https://yandex.ru/legal/directory_cooperation/index.html
36,https://yandex.ru/jobs/professions/marketing-manager
37,https://yandex.ru/legal/market_general/30112016/index.html
38,https://yandex.ru/blog/company/dannye-kotorye-my-ne-uberegli-i-uroki-kotorye-my-izvlekli#623cf00d45737d003ffbe394
39,https://yandex.ru/blog/company/bespilotnoe-taksi-v-innopolise-tsifry-i-fakty#618e9799f4ea8b00178be627
40,https://yandex.ru/blog/company/dannye-kotorye-my-ne-uberegli-i-uroki-kotorye-my-izvlekli#623c4f2e45737d003ffbdaef
41,https://yandex.ru/blog/company/smotrite-po-russki-yandeks-zapustil-zakadrovyy-perevod-video#61387efb2ee72d0017ebcd60
42,https://yandex.ru/legal/direct_display_rules/12092017/index.html
43,https://yandex.ru/blog/company/dannye-kotorye-my-ne-uberegli-i-uroki-kotorye-my-izvlekli/#624138c645737d003ffc0fe9
44,https://yandex.ru/company/services_news?tag=android
45,https://passport.yandex.ru/auth?retpath=https%3A%2F%2Fyandex.ru%2Fpogoda%2F%3Futm_campaign%3Dalert%26utm_content%3Dalert_separate%26utm_medium%3Dweb%26utm_source%3Dhome%26utm_term%3Dauto&origin=weather_header
46,https://yandex.ru/blog/company/novye-yazyki-zakadrovogo-perevoda#61a5f224136b200017798ea1
47,https://yandex.ru/blog/partner/vstrechayte-novyy-mobilnyy-blok-rsya-motion
48,https://yandex.ru/legal/social_ads/
49,https://yandex.ru/video/preview/?filmId=17218105326631195345&source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE&utm_source=main_stripe_big
50,https://yandex.ru/adv/edu/experts/kodachigov_r
